2024-05-09 23:08:10; , Profit, M, N, K, L, s_eps, khp, ktype, lda, lda3, seed
2024-05-09 23:08:24; ,0.235796894,100,100,20,175,0.001,1, rbf,100,0,1
2024-05-09 23:09:15; ,0.210457616,100,100,20,175,0.001,1, rbf,100,0,2
2024-05-09 23:10:04; ,0.228862934,100,100,20,175,0.001,1, rbf,100,0,3
2024-05-09 23:10:52; ,0.263899099,100,100,20,175,0.001,1, rbf,100,0,4
2024-05-09 23:11:41; ,0.251642791,100,100,20,175,0.001,1, rbf,100,0,5
,,,,,,,,,,,
Avg,0.238131867,,,,,,,,,,
Std Dev,0.0206381,,,,,,,,,,
