2024-05-09 23:07:54; , Profit, M, N, K, L, s_eps, khp, ktype, lda, lda3, seed
2024-05-09 23:08:07; ,0.213321762,100,100,20,175,0.0001,1, rbf,100,0,1
2024-05-09 23:08:57; ,0.248161983,100,100,20,175,0.0001,1, rbf,100,0,2
2024-05-09 23:09:48; ,0.241499814,100,100,20,175,0.0001,1, rbf,100,0,3
2024-05-09 23:10:36; ,0.251295022,100,100,20,175,0.0001,1, rbf,100,0,4
2024-05-09 23:11:25; ,0.245219646,100,100,20,175,0.0001,1, rbf,100,0,5
,,,,,,,,,,,
Avg,0.239899646,,,,,,,,,,
Std Dev,0.01529189,,,,,,,,,,
