2024-05-09 23:08:27; , Profit, M, N, K, L, s_eps, khp, ktype, lda, lda3, seed
2024-05-09 23:08:41; ,0.194635846,100,100,20,175,0.01,1, rbf,100,0,1
2024-05-09 23:09:31; ,0.246752265,100,100,20,175,0.01,1, rbf,100,0,2
2024-05-09 23:10:20; ,0.236523725,100,100,20,175,0.01,1, rbf,100,0,3
2024-05-09 23:11:08; ,0.25197575,100,100,20,175,0.01,1, rbf,100,0,4
2024-05-09 23:11:58; ,0.190591053,100,100,20,175,0.01,1, rbf,100,0,5
,,,,,,,,,,,
Avg,0.224095728,,,,,,,,,,
Std Dev,0.029306643,,,,,,,,,,
