2024-05-14 17:06:52; , 26, 1.0154531002044678, 0.6733554005622864, 0.6499999761581421
2024-05-14 17:06:55; , VAL, 26, 0.75, 6.0, 9.0, 5.0, 7.0, 3.0, 7.0
2024-05-14 17:07:07; , 27, 1.0152384042739868, 0.6712924242019653, 0.6599999666213989
2024-05-14 17:07:09; , VAL, 27, 0.75, 6.0, 9.0, 5.0, 7.0, 3.0, 7.0
2024-05-14 17:07:21; , 28, 1.0149765014648438, 0.6697744727134705, 0.6699999570846558
2024-05-14 17:07:23; , VAL, 28, 0.75, 6.0, 9.0, 5.0, 7.0, 3.0, 7.0
2024-05-14 17:07:35; , 29, 1.016289234161377, 0.6662773489952087, 0.6899999976158142
2024-05-14 17:07:38; , VAL, 29, 0.75, 6.0, 9.0, 5.0, 7.0, 3.0, 7.0
2024-05-14 17:07:50; , 30, 1.012823224067688, 0.6717075705528259, 0.6499999761581421
2024-05-14 17:07:52; , VAL, 30, 0.75, 6.0, 9.0, 5.0, 7.0, 3.0, 7.0
2024-05-14 17:08:04; , 31, 1.012614369392395, 0.6707192659378052, 0.6699999570846558
2024-05-14 17:08:07; , VAL, 31, 0.75, 6.0, 9.0, 5.0, 7.0, 3.0, 7.0
2024-05-14 17:08:19; , 32, 1.0078786611557007, 0.668006420135498, 0.6699999570846558
2024-05-14 17:08:21; , VAL, 32, 0.800000011920929, 6.0, 9.0, 5.0, 7.0, 3.0, 7.0
2024-05-14 17:08:33; , 33, 1.0077592134475708, 0.6662611365318298, 0.6699999570846558
2024-05-14 17:08:35; , VAL, 33, 0.800000011920929, 6.0, 9.0, 5.0, 7.0, 3.0, 7.0
2024-05-14 17:08:47; , 34, 1.0090357065200806, 0.6635044813156128, 0.6699999570846558
2024-05-14 17:08:50; , VAL, 34, 0.800000011920929, 6.0, 9.0, 5.0, 7.0, 3.0, 7.0
2024-05-14 17:09:02; , 35, 1.0088552236557007, 0.6623329520225525, 0.6699999570846558
2024-05-14 17:09:04; , VAL, 35, 0.800000011920929, 6.0, 9.0, 5.0, 7.0, 3.0, 7.0
2024-05-14 17:09:16; , 36, 1.0086746215820312, 0.6604263782501221, 0.6699999570846558
2024-05-14 17:09:19; , VAL, 36, 0.800000011920929, 6.0, 9.0, 5.0, 7.0, 3.0, 7.0
2024-05-14 17:09:31; , 37, 1.008493423461914, 0.6584400534629822, 0.6800000071525574
2024-05-14 17:09:33; , VAL, 37, 0.800000011920929, 6.0, 9.0, 5.0, 7.0, 3.0, 7.0
2024-05-14 17:09:45; , 38, 1.0071128606796265, 0.657774806022644, 0.6599999666213989
2024-05-14 17:09:47; , VAL, 38, 0.800000011920929, 6.0, 9.0, 5.0, 7.0, 3.0, 7.0
2024-05-14 17:09:59; , 39, 1.006980538368225, 0.6557226181030273, 0.6699999570846558
2024-05-14 17:10:02; , VAL, 39, 0.800000011920929, 7.0, 8.0, 5.0, 6.0, 4.0, 7.0
2024-05-14 17:10:14; , 40, 1.006547212600708, 0.6511433124542236, 0.7099999785423279
2024-05-14 17:10:16; , VAL, 40, 0.800000011920929, 7.0, 8.0, 5.0, 6.0, 4.0, 7.0
2024-05-14 17:10:28; , 41, 1.0067224502563477, 0.651356041431427, 0.6699999570846558
2024-05-14 17:10:30; , VAL, 41, 0.800000011920929, 7.0, 8.0, 5.0, 6.0, 4.0, 7.0
2024-05-14 17:10:42; , 42, 1.0065960884094238, 0.6490391492843628, 0.6699999570846558
2024-05-14 17:10:45; , VAL, 42, 0.800000011920929, 7.0, 8.0, 5.0, 6.0, 4.0, 7.0
2024-05-14 17:10:57; , 43, 1.006472110748291, 0.646631121635437, 0.6699999570846558
2024-05-14 17:10:59; , VAL, 43, 0.75, 6.0, 9.0, 5.0, 7.0, 1.0, 8.0
2024-05-14 17:11:11; , 44, 1.0130456686019897, 0.6359229683876038, 0.6899999976158142
2024-05-14 17:11:13; , VAL, 44, 0.75, 6.0, 9.0, 5.0, 7.0, 1.0, 8.0
2024-05-14 17:11:25; , 45, 1.0126208066940308, 0.6320875287055969, 0.6899999976158142
2024-05-14 17:11:28; , VAL, 45, 0.75, 7.0, 9.0, 4.0, 6.0, 1.0, 9.0
2024-05-14 17:11:40; , 46, 1.0124094486236572, 0.6290906667709351, 0.6899999976158142
2024-05-14 17:11:42; , VAL, 46, 0.800000011920929, 7.0, 9.0, 4.0, 6.0, 1.0, 9.0
2024-05-14 17:11:54; , 47, 1.0121923685073853, 0.6259839534759521, 0.6899999976158142
2024-05-14 17:11:57; , VAL, 47, 0.800000011920929, 7.0, 9.0, 4.0, 6.0, 1.0, 9.0
2024-05-14 17:12:09; , 48, 1.0119706392288208, 0.6227730512619019, 0.699999988079071
2024-05-14 17:12:11; , VAL, 48, 0.800000011920929, 7.0, 9.0, 4.0, 6.0, 1.0, 9.0
2024-05-14 17:12:23; , 49, 1.011744737625122, 0.6189927458763123, 0.6899999976158142
2024-05-14 17:12:25; , VAL, 49, 0.800000011920929, 7.0, 9.0, 4.0, 6.0, 1.0, 9.0
2024-05-14 17:12:37; , 50, 1.0104994773864746, 0.6179821491241455, 0.6899999976158142
2024-05-14 17:12:40; , VAL, 50, 0.800000011920929, 7.0, 9.0, 4.0, 6.0, 1.0, 9.0
2024-05-14 17:12:52; , 51, 1.0102944374084473, 0.614681601524353, 0.6899999976158142
2024-05-14 17:12:54; , VAL, 51, 0.800000011920929, 7.0, 9.0, 4.0, 6.0, 1.0, 9.0
2024-05-14 17:13:06; , 52, 1.0110557079315186, 0.6114713549613953, 0.699999988079071
2024-05-14 17:13:08; , VAL, 52, 0.800000011920929, 7.0, 9.0, 4.0, 6.0, 1.0, 9.0
2024-05-14 17:13:20; , 53, 1.010823369026184, 0.6080021262168884, 0.699999988079071
2024-05-14 17:13:23; , VAL, 53, 0.800000011920929, 7.0, 9.0, 4.0, 6.0, 1.0, 9.0
2024-05-14 17:13:35; , 54, 1.010589361190796, 0.6044697761535645, 0.699999988079071
2024-05-14 17:13:37; , VAL, 54, 0.800000011920929, 7.0, 9.0, 4.0, 6.0, 1.0, 9.0
2024-05-14 17:13:49; , 55, 1.0091495513916016, 0.5977140069007874, 0.699999988079071
2024-05-14 17:13:51; , VAL, 55, 0.800000011920929, 7.0, 9.0, 4.0, 6.0, 1.0, 9.0
2024-05-14 17:14:03; , 56, 1.0097942352294922, 0.5947614312171936, 0.7099999785423279
2024-05-14 17:14:06; , VAL, 56, 0.800000011920929, 7.0, 9.0, 4.0, 6.0, 1.0, 9.0
2024-05-14 17:14:18; , 57, 1.0078685283660889, 0.5959945321083069, 0.7099999785423279
2024-05-14 17:14:20; , VAL, 57, 0.75, 7.0, 9.0, 4.0, 6.0, 1.0, 9.0
2024-05-14 17:14:32; , 58, 1.0088300704956055, 0.5930790901184082, 0.7099999785423279
2024-05-14 17:14:34; , VAL, 58, 0.75, 7.0, 9.0, 4.0, 6.0, 1.0, 9.0
2024-05-14 17:14:46; , 59, 1.008621335029602, 0.5888781547546387, 0.7099999785423279
2024-05-14 17:14:49; , VAL, 59, 0.75, 7.0, 9.0, 4.0, 6.0, 1.0, 9.0
2024-05-14 17:15:01; , 60, 1.0069165229797363, 0.5819569826126099, 0.699999988079071
2024-05-14 17:15:03; , VAL, 60, 0.75, 7.0, 9.0, 4.0, 6.0, 1.0, 9.0
2024-05-14 17:15:15; , 61, 1.0067110061645508, 0.578158438205719, 0.699999988079071
2024-05-14 17:15:18; , VAL, 61, 0.75, 7.0, 9.0, 4.0, 6.0, 1.0, 9.0
2024-05-14 17:15:30; , 62, 1.0040037631988525, 0.5830775499343872, 0.699999988079071
2024-05-14 17:15:32; , VAL, 62, 0.75, 6.0, 9.0, 5.0, 7.0, 1.0, 8.0
2024-05-14 17:15:44; , 63, 1.0038678646087646, 0.5795444846153259, 0.699999988079071
2024-05-14 17:15:46; , VAL, 63, 0.75, 4.0, 9.0, 7.0, 9.0, 1.0, 6.0
2024-05-14 17:15:58; , 64, 1.004380226135254, 0.572484016418457, 0.699999988079071
2024-05-14 17:16:01; , VAL, 64, 0.75, 4.0, 9.0, 7.0, 9.0, 1.0, 6.0
2024-05-14 17:16:13; , 65, 1.0035996437072754, 0.5723111629486084, 0.699999988079071
2024-05-14 17:16:15; , VAL, 65, 0.75, 4.0, 9.0, 7.0, 9.0, 1.0, 6.0
2024-05-14 17:16:27; , 66, 1.0045197010040283, 0.5656078457832336, 0.7099999785423279
2024-05-14 17:16:29; , VAL, 66, 0.75, 4.0, 9.0, 7.0, 9.0, 1.0, 6.0
2024-05-14 17:16:41; , 67, 1.003813624382019, 0.5640295147895813, 0.7099999785423279
2024-05-14 17:16:44; , VAL, 67, 0.75, 4.0, 9.0, 7.0, 9.0, 1.0, 6.0
2024-05-14 17:16:56; , 68, 1.003703236579895, 0.5585131645202637, 0.7099999785423279
2024-05-14 17:16:58; , VAL, 68, 0.75, 4.0, 9.0, 7.0, 9.0, 1.0, 6.0
2024-05-14 17:17:10; , 69, 1.002043604850769, 0.5533722043037415, 0.7099999785423279
2024-05-14 17:17:13; , VAL, 69, 0.75, 4.0, 9.0, 7.0, 9.0, 1.0, 6.0
2024-05-14 17:17:25; , 70, 1.0014959573745728, 0.5551337599754333, 0.699999988079071
2024-05-14 17:17:27; , VAL, 70, 0.75, 4.0, 9.0, 7.0, 9.0, 1.0, 6.0
2024-05-14 17:17:39; , 71, 1.0028703212738037, 0.5565195083618164, 0.699999988079071
2024-05-14 17:17:41; , VAL, 71, 0.75, 4.0, 9.0, 7.0, 9.0, 1.0, 6.0
2024-05-14 17:17:53; , 72, 1.0014922618865967, 0.5491379499435425, 0.7099999785423279
2024-05-14 17:17:56; , VAL, 72, 0.75, 4.0, 9.0, 7.0, 9.0, 1.0, 6.0
2024-05-14 17:18:08; , 73, 1.0014798641204834, 0.5457738041877747, 0.7099999785423279
2024-05-14 17:18:10; , VAL, 73, 0.75, 4.0, 9.0, 7.0, 9.0, 1.0, 6.0
2024-05-14 17:18:22; , 74, 1.0025700330734253, 0.5469558238983154, 0.699999988079071
2024-05-14 17:18:24; , VAL, 74, 0.699999988079071, 5.0, 8.0, 7.0, 8.0, 2.0, 6.0
2024-05-14 17:18:36; , 75, 1.00192129611969, 0.5414745211601257, 0.699999988079071
2024-05-14 17:18:39; , VAL, 75, 0.699999988079071, 5.0, 8.0, 7.0, 8.0, 2.0, 6.0
2024-05-14 17:18:51; , 76, 1.001442313194275, 0.5394414663314819, 0.699999988079071
2024-05-14 17:18:53; , VAL, 76, 0.699999988079071, 5.0, 9.0, 6.0, 8.0, 1.0, 7.0
2024-05-14 17:19:05; , 77, 1.003227949142456, 0.5246326923370361, 0.7199999690055847
2024-05-14 17:19:07; , VAL, 77, 0.699999988079071, 5.0, 9.0, 6.0, 8.0, 1.0, 7.0
