2024-05-09 23:05:16; , Profit, M, N, K, L, s_eps, khp, ktype, lda, lda3, seed
2024-05-09 23:05:24; ,0.177178374,100,100,20,100,0.0001,1, rbf,100,0,1
2024-05-09 23:05:55; ,0.146898306,100,100,20,100,0.0001,1, rbf,100,0,2
2024-05-09 23:06:27; ,0.144260682,100,100,20,100,0.0001,1, rbf,100,0,3
2024-05-09 23:06:58; ,0.133674096,100,100,20,100,0.0001,1, rbf,100,0,4
2024-05-09 23:07:30; ,0.134562996,100,100,20,100,0.0001,1, rbf,100,0,5
,,,,,,,,,,,
Avg,0.147314891,,,,,,,,,,
Std Dev,0.01767775,,,,,,,,,,
