2024-05-09 23:05:27; , Profit, M, N, K, L, s_eps, khp, ktype, lda, lda3, seed
2024-05-09 23:05:34; ,0.1890007,100,100,20,100,0.001,1, rbf,100,0,1
2024-05-09 23:06:05; ,0.174435469,100,100,20,100,0.001,1, rbf,100,0,2
2024-05-09 23:06:37; ,0.144072068,100,100,20,100,0.001,1, rbf,100,0,3
2024-05-09 23:07:09; ,0.155783038,100,100,20,100,0.001,1, rbf,100,0,4
2024-05-09 23:07:40; ,0.170645188,100,100,20,100,0.001,1, rbf,100,0,5
,,,,,,,,,,,
Avg,0.166787292,,,,,,,,,,
Std Dev,0.017348548,,,,,,,,,,
