2024-05-09 23:05:37; , Profit, M, N, K, L, s_eps, khp, ktype, lda, lda3, seed
2024-05-09 23:05:45; ,0.167524661,100,100,20,100,0.01,1, rbf,100,0,1
2024-05-09 23:06:16; ,0.182979478,100,100,20,100,0.01,1, rbf,100,0,2
2024-05-09 23:06:48; ,0.171602384,100,100,20,100,0.01,1, rbf,100,0,3
2024-05-09 23:07:19; ,0.151277762,100,100,20,100,0.01,1, rbf,100,0,4
2024-05-09 23:07:51; ,0.156552973,100,100,20,100,0.01,1, rbf,100,0,5
,,,,,,,,,,,
Avg,0.165987452,,,,,,,,,,
Std Dev,0.012530002,,,,,,,,,,
