2024-05-09 23:12:01; , Profit, M, N, K, L, s_eps, khp, ktype, lda, lda3, seed
2024-05-09 23:12:22; ,0.271052107,100,100,20,250,0.0001,1, rbf,100,0,1
2024-05-09 23:13:31; ,0.266389158,100,100,20,250,0.0001,1, rbf,100,0,2
2024-05-09 23:14:40; ,0.287764392,100,100,20,250,0.0001,1, rbf,100,0,3
2024-05-09 23:15:49; ,0.274102472,100,100,20,250,0.0001,1, rbf,100,0,4
2024-05-09 23:16:59; ,0.273174473,100,100,20,250,0.0001,1, rbf,100,0,5
,,,,,,,,,,,
Avg,0.27449652,,,,,,,,,,
Std Dev,0.007992697,,,,,,,,,,
