2024-05-09 23:12:48; , Profit, M, N, K, L, s_eps, khp, ktype, lda, lda3, seed
2024-05-09 23:13:08; ,0.26885601,100,100,20,250,0.01,1, rbf,100,0,1
2024-05-09 23:14:18; ,0.325884816,100,100,20,250,0.01,1, rbf,100,0,2
2024-05-09 23:15:25; ,0.273640368,100,100,20,250,0.01,1, rbf,100,0,3
2024-05-09 23:16:36; ,0.300438001,100,100,20,250,0.01,1, rbf,100,0,4
2024-05-09 23:17:44; ,0.29856051,100,100,20,250,0.01,1, rbf,100,0,5
,,,,,,,,,,,
Avg,0.293475941,,,,,,,,,,
Std Dev,0.023044789,,,,,,,,,,
